2020.12.29 19:46:49 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.06 12:00:15 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.06 12:00:19 INFO  time: initialize in 4.09s
2021.01.06 12:00:26 WARN  Build server is not auto-connectable.
2021.01.06 12:00:26 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.07 12:55:22 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.07 12:55:28 INFO  time: initialize in 6.25s
2021.01.07 12:55:35 WARN  Build server is not auto-connectable.
2021.01.07 12:55:35 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.08 13:15:27 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.08 13:15:30 INFO  time: initialize in 3.19s
2021.01.08 13:15:36 WARN  Build server is not auto-connectable.
2021.01.08 13:15:36 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.08 15:14:30 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.08 15:14:37 INFO  time: initialize in 6.81s
2021.01.08 15:14:44 WARN  Build server is not auto-connectable.
2021.01.08 15:14:44 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
Jan 08, 2021 4:39:00 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTraceNotification
Jan 08, 2021 4:39:09 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTraceNotification
2021.01.08 18:50:53 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.08 18:50:56 INFO  time: initialize in 2.7s
2021.01.08 18:51:02 WARN  Build server is not auto-connectable.
2021.01.08 18:51:02 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.09 14:11:09 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.09 14:11:17 INFO  time: initialize in 8.03s
2021.01.09 14:11:31 WARN  Build server is not auto-connectable.
2021.01.09 14:11:31 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.09 15:14:15 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.09 15:14:23 INFO  time: initialize in 7.91s
2021.01.09 15:14:29 WARN  Build server is not auto-connectable.
2021.01.09 15:14:29 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
Jan 09, 2021 3:17:09 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTraceNotification
2021.01.10 00:02:29 INFO  shutting down Metals
2021.01.10 13:37:45 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.10 13:37:54 INFO  time: initialize in 8.57s
2021.01.10 13:38:00 WARN  Build server is not auto-connectable.
2021.01.10 13:38:00 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.11 12:50:48 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.11 12:50:56 INFO  time: initialize in 8.8s
2021.01.11 12:51:03 WARN  Build server is not auto-connectable.
2021.01.11 12:51:03 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
Jan 11, 2021 1:53:39 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFO: Unsupported notification method: $/setTraceNotification
2021.01.11 23:56:10 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.11 23:56:18 INFO  time: initialize in 8.13s
2021.01.11 23:56:27 WARN  Build server is not auto-connectable.
2021.01.11 23:56:27 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.12 02:39:30 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.12 02:39:35 INFO  time: initialize in 5.41s
2021.01.12 02:39:41 WARN  Build server is not auto-connectable.
2021.01.12 02:39:41 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.14 01:16:07 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.14 01:16:15 INFO  time: initialize in 8.27s
2021.01.14 01:16:22 WARN  Build server is not auto-connectable.
2021.01.14 01:16:22 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.16 01:19:11 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.16 01:19:18 INFO  time: initialize in 6.38s
2021.01.16 01:19:25 WARN  Build server is not auto-connectable.
2021.01.16 01:19:25 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.16 12:00:47 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.16 12:00:56 INFO  time: initialize in 9.14s
2021.01.16 12:01:06 WARN  Build server is not auto-connectable.
2021.01.16 12:01:06 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.17 12:41:36 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.17 12:41:46 INFO  time: initialize in 10s
2021.01.17 12:41:55 WARN  Build server is not auto-connectable.
2021.01.17 12:41:55 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.18 11:41:02 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.18 11:41:06 INFO  time: initialize in 4.87s
2021.01.18 11:41:13 WARN  Build server is not auto-connectable.
2021.01.18 11:41:13 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.19 00:32:37 INFO  Started: Metals version 0.9.8 in workspace 'C:\xampp\htdocs\Coursera' for client vscode.
2021.01.19 00:32:43 INFO  time: initialize in 5.78s
2021.01.19 00:32:49 WARN  Build server is not auto-connectable.
2021.01.19 00:32:49 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2021.01.19 04:44:51 INFO  shutting down Metals
[0m2021.01.24 14:25:11 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.01.24 14:25:17 INFO  time: initialize in 6.32s[0m
[0m2021.01.24 14:25:18 WARN  resetting database: C:\xampp\htdocs\Coursera\.metals\metals.h2.db[0m
[0m2021.01.24 14:25:20 WARN  Build server is not auto-connectable.[0m
[0m2021.01.24 14:25:20 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.01.24 14:44:07 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.01.24 14:44:13 INFO  time: initialize in 6.03s[0m
[0m2021.01.24 14:44:20 WARN  Build server is not auto-connectable.[0m
[0m2021.01.24 14:44:20 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.01.25 14:24:29 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.01.25 14:24:33 INFO  time: initialize in 4.11s[0m
[0m2021.01.25 14:24:40 WARN  Build server is not auto-connectable.[0m
[0m2021.01.25 14:24:40 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.01.26 19:08:43 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.01.26 19:08:48 INFO  time: initialize in 5.6s[0m
[0m2021.01.26 19:08:55 WARN  Build server is not auto-connectable.[0m
[0m2021.01.26 19:08:55 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.01.30 16:43:49 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.01.30 16:43:57 INFO  time: initialize in 8.45s[0m
[0m2021.01.30 16:44:06 WARN  Build server is not auto-connectable.[0m
[0m2021.01.30 16:44:06 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.01.31 13:11:29 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.01.31 13:11:34 INFO  time: initialize in 5.7s[0m
[0m2021.01.31 13:11:40 WARN  Build server is not auto-connectable.[0m
[0m2021.01.31 13:11:40 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.02.01 13:51:47 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.02.01 13:51:54 INFO  time: initialize in 7.47s[0m
[0m2021.02.01 13:52:01 WARN  Build server is not auto-connectable.[0m
[0m2021.02.01 13:52:01 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.02.01 14:38:24 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.02.01 14:38:30 INFO  time: initialize in 6.76s[0m
[0m2021.02.01 14:38:38 WARN  Build server is not auto-connectable.[0m
[0m2021.02.01 14:38:38 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.02.02 20:46:14 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.02.02 20:46:21 INFO  time: initialize in 6.8s[0m
[0m2021.02.02 20:46:28 WARN  Build server is not auto-connectable.[0m
[0m2021.02.02 20:46:28 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.02.03 19:29:00 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.02.03 19:29:05 INFO  time: initialize in 4.79s[0m
[0m2021.02.03 19:29:18 WARN  Build server is not auto-connectable.[0m
[0m2021.02.03 19:29:18 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.02.03 22:42:46 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.02.03 22:42:54 INFO  time: initialize in 7.87s[0m
[0m2021.02.03 22:43:03 WARN  Build server is not auto-connectable.[0m
[0m2021.02.03 22:43:03 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.02.06 21:16:46 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.02.06 21:16:51 INFO  time: initialize in 5.21s[0m
[0m2021.02.06 21:16:59 WARN  Build server is not auto-connectable.[0m
[0m2021.02.06 21:16:59 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
[0m2021.02.07 12:37:00 INFO  Started: Metals version 0.9.10 in workspace 'C:\xampp\htdocs\Coursera' for client vscode 1.52.1.[0m
[0m2021.02.07 12:37:02 INFO  time: initialize in 2.08s[0m
[0m2021.02.07 12:37:07 WARN  Build server is not auto-connectable.[0m
[0m2021.02.07 12:37:07 WARN  no build tool detected in workspace 'C:\xampp\htdocs\Coursera'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
